0	0.0659250	-0.05791050	-0.1645570	0.1600880	0.0484860	-0.06855980	0.1073350	-0.116720	0.09835660	-0.08233160	0.1488620	-0.1366140	0.05080850	-0.1015350	0.08266380	-0.1032460	-0.02598910	-0.03138070	0.1471060	-0.1283290	-0.02220580	-0.05122890	0.1493570	-0.1135010	0.0710690	-0.08951110	0.1388510	0.1285170	-0.0883980	0.007940440	-0.1179190	0.09957340	-0.06173090	0.05669340	-0.1628340	-0.1490630	0.008269880	-0.002222210	0.1176410	0.1343180	-0.1139490	0.1037240	-0.1160810	-0.1248650	0.08207350	0.009455390	-0.1254150	0.1436170	-0.01974270	0.05505160	0.1325790	0.1180420	0.006970730	0.02701190	0.1593650	-0.1086320	-0.06499230	0.0967890	0.1519690	-0.1302930	-0.003114850	0.07221430	-0.112690	-0.1388110	0.08923040	0.0001060750	-0.08959090	0.1260680	0.00216960	-0.01095170	-0.110350	0.1066170	0.04149490	0.06843950	0.132510	-0.1659170	-0.07283840	-0.06854340	-0.1255280	0.134590	0.0001206180	0.001220740	-0.1456360	0.1601870	0.0684050	0.09744290	0.09039610	-0.1231880	0.0005669430	-0.005787860	0.1245490	0.1171240	0.03354990	-0.00321460	0.08498050	-0.09905950	0.08043640	-0.05439520	-0.112230	0.0941703
0.03	0.1261480.03	0.1102020.03	-0.02901930.03	-0.007967120.03	0.09957440.03	0.1361310.03	0.1102280.03	0.1329940.03	0.1643180.03	0.1367410.03	0.05624730.03	0.09853160.03	0.0837730.03	0.1711180.03	0.1135030.03	0.1405230.03	-0.04619270.03	0.05861450.03	0.0411010.03	0.03855250.03	-0.04230150.03	0.1015430.03	0.1210630.03	0.09132020.03	0.1155760.03	0.1362030.03	0.08738140.03	-0.0647840.03	-0.1532890.03	-0.01898090.03	-0.1507350.03	-0.1211510.03	-0.1128180.03	-0.09193430.03	-0.01748510.03	0.01585850.03	0.01214570.03	0.006681920.03	0.1344290.03	-0.1270330.03	-0.1845770.03	-0.1665350.03	-0.06725380.03	0.04389950.03	0.1428370.03	-0.009686110.03	-0.1678250.03	-0.1493150.03	-0.03988680.03	-0.09565920.03	0.04482780.03	-0.03234440.03	0.008123330.03	-0.05755640.03	0.1593570.03	0.1279780.03	-0.1086820.03	-0.1480250.03	0.1012280.03	0.1028810.03	-0.0008872120.03	-0.1291530.03	-0.1341240.03	0.1168430.03	0.1291230.03	0.0001441010.03	-0.02067460.03	-0.04163190.03	0.004873510.03	0.01641920.03	-0.1006880.03	-0.139050.03	0.07750450.03	-0.1152490.03	0.07382220.03	0.09204070.03	-0.1212010.03	0.1249270.03	-0.1236110.03	-0.1465730.03	-0.001774660.03	0.00103960.03	-0.06472550.03	-0.06691490.03	0.120590.03	-0.1336430.03	0.1187420.03	0.08821720.03	-0.001306460.03	0.01016960.03	0.01711820.03	-0.006949460.03	0.06534750.03	0.004339750.03	0.09603660.03	0.1274130.03	0.11990.03	0.09240150.03	-0.07938650.03	-0.0894762
0.06	0.1642130.06	-0.1495760.06	0.153130.06	-0.1551670.06	0.1560130.06	-0.1916640.06	0.003064110.06	-0.02697640.06	0.165690.06	-0.1372930.06	-0.1170950.06	0.06163110.06	0.1013830.06	-0.1912960.06	0.06706340.06	-0.09402620.06	-0.07384160.06	-0.09635040.06	-0.1366820.06	0.12610.06	-0.05824910.06	-0.1406570.06	-0.04639910.06	0.04675860.06	0.097510.06	-0.1135770.06	-0.08871950.06	-0.09359790.06	-0.1720790.06	0.03394450.06	-0.07387340.06	0.06070060.06	-0.150450.06	0.1035880.06	0.1610110.06	0.1447960.06	0.01160570.06	-0.004740930.06	0.0466890.06	-0.01237990.06	-0.159910.06	0.1568460.06	0.07598670.06	0.1063150.06	0.1792740.06	0.005250490.06	-0.09521080.06	0.01378950.06	-0.05733990.06	0.1185950.06	-0.1167770.06	-0.1149350.06	0.009811520.06	0.07626110.06	0.01406810.06	-0.05226820.06	-0.1167870.06	0.1334260.06	-0.08003530.06	0.06037920.06	0.002741460.06	0.1566270.06	-0.05069760.06	0.03375040.06	0.101360.06	0.001053620.06	0.08548710.06	-0.1171880.06	0.005718170.06	-0.02322670.06	0.02104210.06	0.07721450.06	0.1028430.06	0.109930.06	-0.09501840.06	0.1104840.06	-0.1216590.06	-0.1528660.06	0.0158690.06	0.023940.06	0.003271480.06	0.001825850.06	0.1151620.06	-0.1251140.06	0.139020.06	0.0916370.06	0.06679160.06	0.06512560.06	-0.002885570.06	-0.01028120.06	-0.1186270.06	-0.1163730.06	0.08216240.06	-0.00557450.06	0.01673210.06	-0.06434680.06	0.099160.06	-0.09704880.06	0.05052040.06	-0.00664
0.09	0.1713690.09	0.1581310.09	0.05035280.09	0.01776730.09	0.2072810.09	0.2322910.09	-0.1084580.09	-0.1016940.09	0.1059490.09	0.08907820.09	-0.09686840.09	-0.1387970.09	0.09601630.09	0.1564610.09	-0.02242310.09	-0.01347880.09	-0.09798190.09	0.136170.09	-0.0832340.09	-0.06862890.09	-0.06704650.09	0.159450.09	-0.1585360.09	-0.1265780.09	0.02316940.09	0.03134070.09	-0.1424610.09	0.1124260.09	-0.1412290.09	-0.04426670.09	0.06151870.09	0.04826080.09	-0.1701840.09	-0.0922490.09	0.02186330.09	-0.04155470.09	0.01220810.09	0.005411020.09	-0.07853640.09	0.1361910.09	-0.06146620.09	-0.07217740.09	0.1077670.09	-0.08103580.09	0.1745410.09	-0.002059080.09	0.03827230.09	0.1312640.09	-0.07490670.09	-0.1142730.09	-0.08250630.09	0.06051620.09	0.00730390.09	-0.08250830.09	-0.1503270.09	-0.0613840.09	-0.09756750.09	-0.05493440.09	-0.158030.09	-0.1475930.09	0.00910640.09	-0.1466280.09	0.07762420.09	-0.1454070.09	0.01962170.09	-0.0001308340.09	0.04017830.09	0.08296690.09	0.004797070.09	0.02529370.09	0.1199530.09	0.03999320.09	0.1125190.09	-0.06665060.09	-0.1322350.09	-0.1610670.09	-0.07983420.09	0.155560.09	0.1383140.09	0.11530.09	0.009589580.09	-0.0001228860.09	0.1167740.09	0.121230.09	0.1283150.09	0.006844750.09	-0.03685180.09	-0.1238010.09	-0.001571350.09	0.005412440.09	-0.02711490.09	0.005335840.09	0.08968590.09	0.003755160.09	-0.07609070.09	-0.05063890.09	0.03057520.09	0.06632940.09	0.1189320.09	0.0976765
0.12	0.1532540.12	-0.1438210.12	-0.1423630.12	0.1634440.12	0.2509540.12	-0.257310.12	-0.1109970.12	0.1401130.12	0.00174740.12	-0.01549380.12	0.07739170.12	0.03155150.12	0.06495720.12	-0.07974860.12	-0.1003860.12	0.1062960.12	-0.1209950.12	-0.1726210.12	0.1216770.12	-0.1099370.12	-0.06882720.12	-0.1559740.12	-0.08080960.12	0.06478190.12	-0.07593140.12	0.07208540.12	-0.004590610.12	0.03662670.12	-0.06795370.12	0.05337070.12	0.1474490.12	-0.1212830.12	-0.1735160.12	0.0584920.12	-0.1642910.12	-0.1370840.12	0.01286560.12	-0.001433840.12	-0.130.12	-0.1142960.12	0.05570760.12	-0.04669150.12	-0.02119120.12	-0.0842690.12	0.1343160.12	0.002631840.12	0.139930.12	-0.1451230.12	-0.09167330.12	0.08556140.12	0.09178650.12	0.1043120.12	0.001186250.12	0.08248610.12	-0.1773950.12	0.1294160.12	-0.04887350.12	-0.05372560.12	-0.03190280.12	0.05436860.12	0.01557870.12	0.1073950.12	0.1374920.12	0.09623850.12	-0.07531650.12	-0.006313540.12	-0.07812930.12	0.0908390.12	-0.0002625380.12	-0.02760970.12	0.08690120.12	-0.1298120.12	0.1043350.12	0.002178290.12	0.01698520.12	-0.0241020.12	-0.007579590.12	-0.1267330.12	0.1150720.12	-0.1460940.12	0.008199910.12	0.001185210.12	-0.06164410.12	0.07112990.12	0.08097860.12	-0.1061670.12	-0.1167380.12	0.01736430.12	1.30794e-050.12	-0.003593250.12	0.1076280.12	0.1165110.12	0.08414660.12	-0.0004083640.12	-0.1036520.12	0.1319980.12	-0.05100360.12	-0.01012920.12	0.04152120.12	-0.087867
0.15	0.1190.15	0.1037410.15	-0.06680230.15	-0.03934650.15	0.2916920.15	0.2716040.15	0.003561280.15	-0.06414290.15	-0.1031570.15	-0.06756290.15	0.1288320.15	0.1137360.15	0.02035580.15	-0.01875820.15	-0.1145080.15	-0.135530.15	-0.1305310.15	0.2042920.15	0.1225120.15	0.1017340.15	-0.06914080.15	0.1376450.15	0.09520480.15	0.07412580.15	-0.1393280.15	-0.1412170.15	0.1364820.15	-0.1343350.15	0.02038080.15	-0.06336140.15	0.1247350.15	0.1051570.15	-0.1553910.15	-0.008249180.15	-0.02114450.15	0.0649440.15	0.01457470.15	-0.000993250.15	-0.06622050.15	-0.02939360.15	0.1490550.15	0.1411290.15	-0.1225590.15	0.121870.15	0.06775370.15	-0.0008414670.15	0.1455280.15	0.0208060.15	-0.1002090.15	-0.03812510.15	0.1031380.15	-0.08575390.15	-0.003492750.15	-0.07330150.15	-0.03359050.15	-0.08835180.15	0.01702760.15	0.1314080.15	0.1337640.15	0.1018310.15	0.01851430.15	-0.04269720.15	0.08448160.15	0.05463010.15	-0.1270450.15	0.007742920.15	-0.06333450.15	-0.1140360.15	-0.003223210.15	0.02832960.15	-0.0359560.15	0.1350720.15	0.07751660.15	0.06563020.15	0.1490190.15	0.1706850.15	0.05734310.15	0.07651580.15	-0.03087140.15	0.04114870.15	0.001698880.15	0.0030330.15	-0.1471750.15	-0.1539910.15	0.01429980.15	0.1449630.15	-0.1235130.15	0.1067270.15	0.0002093490.15	0.003475640.15	0.03903730.15	-0.01253190.15	0.06995310.15	-0.002322890.15	-0.0350950.15	-0.1164960.15	-0.1138980.15	-0.04356780.15	-0.09165770.15	-0.0145817
0.18	0.06795320.18	-0.04241340.18	0.1338010.18	-0.1541020.18	0.3194780.18	-0.2707850.18	0.1198850.18	-0.05591870.18	-0.1623710.18	0.1204810.18	-0.03117730.18	-0.109130.18	-0.02253860.18	0.1127450.18	-0.05600330.18	0.08155780.18	-0.1278950.18	-0.2303720.18	-0.08844320.18	0.08655740.18	-0.06186110.18	-0.104490.18	0.1606890.18	-0.1205510.18	-0.1217340.18	0.1412060.18	0.08996130.18	0.03915010.18	0.1034660.18	0.07164120.18	0.002946090.18	-0.01159790.18	-0.1202970.18	-0.039940.18	0.1654580.18	0.1192840.18	0.01849240.18	0.004442120.18	0.0552440.18	0.1350190.18	0.175330.18	-0.1721460.18	-0.03809190.18	0.03559770.18	-0.00854530.18	-0.002113440.18	0.05313870.18	0.1181680.18	-0.09065850.18	-0.01241380.18	-0.06216570.18	-0.07863430.18	-0.00724520.18	0.05928710.18	0.1408880.18	-0.01937090.18	0.07608840.18	-0.1467740.18	0.1298360.18	-0.1342470.18	0.02971590.18	-0.03470870.18	-0.03263340.18	-0.1320270.18	-0.09918260.18	-0.006979040.18	0.06867880.18	-0.05179150.18	-0.002735250.18	-0.02290980.18	-0.1192340.18	-0.05585410.18	0.03480310.18	-0.1114860.18	0.0667080.18	-0.07989670.18	0.09625970.18	-0.01997710.18	-0.1370230.18	0.09705880.18	-0.001616630.18	-0.005740620.18	-0.002970690.18	0.005395610.18	-0.05991330.18	-0.1027570.18	-0.04515340.18	-0.09195660.18	0.0001851820.18	-0.001894610.18	-0.105040.18	-0.1248820.18	0.04267670.18	0.002407820.18	0.06022220.18	0.01661870.18	-0.1188730.18	0.07815310.18	-0.114450.18	0.0993988
0.21	0.00937040.21	-0.02074720.21	0.07992340.21	0.05196340.21	0.331850.21	0.253460.21	0.1056730.21	0.1354820.21	-0.1543230.21	-0.1277950.21	-0.1446480.21	-0.04424970.21	-0.065920.21	-0.1680520.21	0.03154740.21	0.02611440.21	-0.1068440.21	0.2501550.21	-0.1435150.21	-0.1192320.21	-0.04465420.21	0.05888180.21	0.03753430.21	0.0270450.21	-0.03466970.21	-0.06946350.21	-0.0746240.21	0.1149830.21	0.1529620.21	-0.07255810.21	-0.1238850.21	-0.09438480.21	-0.06747260.21	0.0787190.21	0.02392880.21	-0.0849910.21	0.01968610.21	-0.0052240.21	0.1325030.21	-0.09920460.21	0.1193320.21	0.12740.21	0.106470.21	-0.1440360.21	-0.07954210.21	0.0115780.21	-0.07084450.21	-0.148720.21	-0.07011750.21	0.06448290.21	-0.1237520.21	0.09539840.21	-0.006575240.21	-0.03804960.21	0.1699390.21	0.1191070.21	0.09517220.21	0.08726990.21	-0.04266850.21	0.0006274380.21	0.0334430.21	0.1038780.21	-0.1260570.21	0.06447150.21	-0.01709040.21	0.002324590.21	0.08033160.21	0.1297090.21	-0.004586050.21	0.01695260.21	-0.07055010.21	-0.0664240.21	-0.01450.21	0.1185150.21	-0.1088270.21	-0.1223730.21	0.09654950.21	-0.03837340.21	-0.08897790.21	-0.1536670.21	-0.006178910.21	0.002674240.21	0.1429610.21	0.1551880.21	-0.1211070.21	-0.002045260.21	0.06203890.21	-0.04168820.21	0.001189180.21	-0.004871620.21	-0.04695550.21	0.01346590.21	0.004945970.21	4.50164e-050.21	0.1058290.21	0.09950140.21	-0.06841620.21	-0.08323330.21	0.008374280.21	-0.0857431
0.24	-0.0476170.24	0.08407950.24	-0.1202230.24	0.147540.24	0.3366040.24	-0.2120570.24	-0.01680070.24	-0.1096940.24	-0.08590340.24	0.08752340.24	-0.02992960.24	0.1332390.24	-0.09097960.24	0.1716790.24	0.1013170.24	-0.1118720.24	-0.07841460.24	-0.255440.24	0.05134850.24	-0.05651970.24	-0.03388650.24	-0.003402050.24	-0.1307390.24	0.1022720.24	0.06597260.24	-0.04256070.24	-0.1364430.24	-0.09341250.24	0.1574650.24	0.06730830.24	-0.151910.24	0.1288610.24	-0.01164060.24	-0.1010920.24	-0.1603570.24	-0.1069380.24	0.01868940.24	0.004749920.24	0.09349350.24	-0.05018080.24	0.01238380.24	-0.01988970.24	0.1023460.24	0.01709810.24	-0.1333430.24	-0.008228960.24	-0.1461210.24	0.02975550.24	-0.04555660.24	-0.1090840.24	0.02332450.24	0.06119350.24	-0.003608450.24	0.008451060.24	0.03994280.24	-0.1206810.24	0.08782590.24	0.0217280.24	-0.1560110.24	0.1372630.24	0.03136850.24	-0.147070.24	-0.1209280.24	0.08201240.24	0.07460230.24	0.0002805030.24	-0.05771380.24	0.006002850.24	-0.001565610.24	-0.008864090.24	0.0551730.24	0.145640.24	-0.0679170.24	-0.07209030.24	-0.1314760.24	0.1492180.24	0.06554870.24	0.09691440.24	0.04659590.24	0.064220.24	-0.01035940.24	0.001416350.24	0.07041640.24	-0.07456820.24	-0.1479190.24	0.1024480.24	0.119920.24	0.1060860.24	-0.0001424860.24	0.007560410.24	0.102370.24	0.1226110.24	-0.03745770.24	0.0007060630.24	0.05620950.24	-0.141730.24	0.02273480.24	0.06177120.24	0.1212980.24	-0.0169508
0.27	-0.09830320.27	-0.1368740.27	-0.09590220.27	-0.05623720.27	0.324870.27	0.1596820.27	-0.11740.27	-0.008109120.27	0.02351470.27	-0.01563540.27	0.1340810.27	-0.05746360.27	-0.09497530.27	-0.112090.27	0.1132980.27	0.1274920.27	-0.04106540.27	0.2587680.27	0.1548090.27	0.1380730.27	-0.01395380.27	-0.05161210.27	-0.1461990.27	-0.1157150.27	0.1365090.27	0.1247240.27	-0.01142430.27	-0.05959920.27	0.1078810.27	-0.05394010.27	-0.07068470.27	-0.06982110.27	0.05257410.27	0.09160.27	-0.03083770.27	0.1048360.27	0.01492810.27	-0.002223450.27	-0.02840020.27	0.1388290.27	-0.09967640.27	-0.09134190.27	-0.06513550.27	0.1397140.27	-0.1629690.27	0.004093930.27	-0.127610.27	0.1155360.27	-0.01688590.27	0.1317080.27	0.1342090.27	-0.1062880.27	-0.0008808620.27	0.01904290.27	-0.1261840.27	0.02699760.27	0.04791330.27	-0.1194140.27	-0.06606060.27	-0.1046160.27	0.02203170.27	0.1486650.27	-0.02290090.27	-0.1372760.27	0.134080.27	-0.0006338770.27	-0.09343360.27	-0.1390280.27	0.004932580.27	-0.007614230.27	0.1220710.27	-0.1230680.27	-0.1083980.27	-0.007495780.27	0.02815440.27	0.03163750.27	0.006030580.27	-0.1385290.27	0.1268990.27	0.08054710.27	-0.006622030.27	-0.002244110.27	-0.1130790.27	-0.1198050.27	-0.1275140.27	-0.1432860.27	0.09328840.27	-0.02799820.27	0.0002219360.27	-0.007409390.27	0.05859510.27	-0.018850.27	-0.06881260.27	0.001596720.27	-0.04081090.27	0.08163050.27	0.1065750.27	-0.02186150.27	0.07959370.27	0.102221
