0	0.1214830	-0.124350	-0.2329150	0.2308950	0.04029740	-0.04950660	0.2106320	-0.2112270	-0.08383980	0.108280	0.232330	-0.2347050	-0.1635030	0.170250	-0.2161130	0.2042850	-0.05069660	-0.004056430	-0.2257390	0.2312890	0.1372560	-0.1314590	0.1824260	-0.1761370	0.02419170	-0.05508390	-0.2100330	0.2019210	0.106410	0.06962820	-0.2477550	0.243170	0.1747230	-0.1844020	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	0
0.03	0.2084380.03	0.2123020.03	-0.06367380.03	-0.06151490.03	0.08158710.03	0.1025480.03	0.2271140.03	0.2325190.03	-0.155390.03	-0.2008530.03	0.1034160.03	0.1052980.03	-0.2489550.03	-0.2535210.03	-0.1700310.03	-0.1631840.03	-0.1056930.03	0.007920930.03	-0.1367950.03	-0.1456940.03	0.2241670.03	0.2127220.03	0.2278020.03	0.2191690.03	0.04474790.03	0.110970.03	-0.1960370.03	-0.1936960.03	0.1896910.03	-0.130940.03	-0.02625960.03	-0.02449610.03	0.2392210.03	0.2534760.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	00.03	0
0.06	0.234920.06	-0.23830.06	0.2209840.06	-0.2132460.06	0.1275370.06	-0.153610.06	0.04749250.06	-0.0388260.06	-0.2085320.06	0.2519970.06	-0.1859830.06	0.182010.06	-0.2161280.06	0.2156090.06	0.08248310.06	-0.0861570.06	-0.1501640.06	-0.01564970.06	0.1393490.06	-0.1410970.06	0.225810.06	-0.2188510.06	0.1061340.06	-0.09196080.06	0.07034690.06	-0.1633440.06	0.02768750.06	-0.0191510.06	0.2344970.06	0.1811070.06	0.2412740.06	-0.2410040.06	0.1557750.06	-0.161620.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	00.06	0
0.09	0.1990550.09	0.1974480.09	0.1242780.09	0.1225550.09	0.1717540.09	0.2018850.09	-0.1727460.09	-0.1839690.09	-0.2341140.09	-0.2537830.09	-0.1838570.09	-0.1840790.09	-0.07753760.09	-0.07234320.09	0.241870.09	0.2251250.09	-0.1860170.09	0.0243110.09	0.2229370.09	0.2360730.09	0.1471540.09	0.1422860.09	-0.09325110.09	-0.1072540.09	0.09055070.09	0.199140.09	0.2241350.09	0.2114630.09	0.2364610.09	-0.2073740.09	0.04258380.09	0.04218780.09	-0.02729830.09	-0.02937280.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	00.09	0
0.12	0.107480.12	-0.1009380.12	-0.1876840.12	0.1846240.12	0.2069020.12	-0.2444130.12	-0.2324110.12	0.2396380.12	-0.2303690.12	0.2025870.12	0.1067020.12	-0.1046560.12	0.1041990.12	-0.09864960.12	0.1105850.12	-0.08724380.12	-0.213620.12	-0.03118310.12	-7.866e-050.12	-0.003816640.12	0.01082520.12	-0.009027850.12	-0.2248030.12	0.2204740.12	0.1102680.12	-0.2147630.12	0.1874240.12	-0.1789450.12	0.1951730.12	0.2114120.12	-0.2331270.12	0.2329910.12	-0.1898880.12	0.1980110.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	00.12	0
0.15	-0.01162280.15	-0.02364440.15	-0.1707790.15	-0.1758360.15	0.23190.15	0.2757660.15	-0.07698980.15	-0.08189230.15	-0.1904120.15	-0.1127750.15	0.2343130.15	0.231050.15	0.2293890.15	0.2212990.15	-0.154690.15	-0.1639560.15	-0.23040.15	0.03529920.15	-0.2248330.15	-0.2270940.15	-0.1246180.15	-0.1304550.15	-0.1792760.15	-0.1667440.15	0.1250980.15	0.2210540.15	-0.04384520.15	-0.04973420.15	0.1157930.15	-0.1826160.15	-0.05803510.15	-0.06280020.15	-0.2373970.15	-0.2425290.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	00.15	0
0.18	-0.1347420.18	0.1371590.18	0.1385940.18	-0.1336050.18	0.2507990.18	-0.2953730.18	0.1470390.18	-0.147480.18	-0.1288510.18	0.004033270.18	0.001382730.18	-0.001016130.18	0.2377980.18	-0.2318570.18	-0.2271670.18	0.2246790.18	-0.2232790.18	-0.04129240.18	-0.1388970.18	0.1410790.18	-0.2093240.18	0.2222440.18	0.005774540.18	-0.01616180.18	0.1369430.18	-0.2009480.18	-0.2275870.18	0.2285120.18	0.01447150.18	0.1318240.18	0.2269770.18	-0.226540.18	-0.1364370.18	0.1303780.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	00.18	0
0.21	-0.2213480.21	-0.2100540.21	0.2101110.21	0.2119180.21	0.2596140.21	0.3025930.21	0.2330140.21	0.2427670.21	-0.04222390.21	0.1061740.21	-0.2322860.21	-0.2326150.21	0.1308650.21	0.125940.21	-0.02163530.21	-0.01389690.21	-0.1959820.21	0.0484080.21	0.1450170.21	0.1401710.21	-0.2143270.21	-0.2271610.21	0.1900910.21	0.1904850.21	0.1459240.21	0.1695750.21	-0.1733470.21	-0.1624920.21	-0.08719270.21	-0.0673460.21	0.08312090.21	0.08269050.21	0.04795780.21	0.06919440.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	00.21	0
0.24	-0.2389470.24	0.2234440.24	-0.07983080.24	0.07855470.24	0.2612930.24	-0.2998470.24	0.1099240.24	-0.1164230.24	0.05042720.24	-0.1989360.24	-0.106920.24	0.1013380.24	-0.03531160.24	0.03997790.24	0.1993890.24	-0.2099360.24	-0.1540590.24	-0.05869620.24	0.2290820.24	-0.2307450.24	-0.137240.24	0.1417720.24	0.2379050.24	-0.217390.24	0.1576060.24	-0.1269790.24	0.06493950.24	-0.08134490.24	-0.1670390.24	-0.01783710.24	-0.2204770.24	0.2217720.24	0.2046680.24	-0.2252270.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	00.24	0
0.27	-0.1891450.27	-0.1703920.27	-0.2361660.27	-0.2309980.27	0.2480310.27	0.2868530.27	-0.1123080.27	-0.1190360.27	0.1382370.27	0.2492320.27	0.1870420.27	0.1917030.27	-0.1818080.27	-0.1874780.27	0.1808920.27	0.1795640.27	-0.1045840.27	0.0670310.27	-0.001060720.27	-0.0001414870.27	-0.006686090.27	-0.007267470.27	0.1075320.27	0.08658530.27	0.168370.27	0.08070680.27	0.22840.27	0.2403630.27	-0.205280.27	0.1039010.27	-0.09963990.27	-0.09875960.27	0.2423050.27	0.2421170.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	00.27	0
