0	0.1139030	-0.08311160	-0.1978190	0.2142980	0.02751640	-0.03549730	0.1509920	-0.1906870	0.1147420	-0.1241930	0.1768770	-0.1827410	-0.04631710	-0.07766350	0.1379990	-0.1616110	0.06981220	0.053470	0.1949230	-0.204740	0.02724150	0.09196430	0.1952160	-0.1846260	-0.1308450	-0.1447960	0.1940870	-0.1796780	0.00604380	0.009162120	-0.1581070	0.1540670	-0.1153140	0.09111770	-0.1860580	0.1832340	-0.1004110	-0.1258390	-0.1721830	0.1389270	0.05144840	-0.02257670	-0.1865540	-0.1821230	0.09930860	-0.04321410	0.1998530	-0.1891990	0.1438930	-0.131844
0.06	0.1872020.06	0.1551350.06	-0.01140830.06	-0.01272070.06	0.05172590.06	0.0703570.06	0.1752320.06	0.2128240.06	0.1668830.06	0.2045020.06	0.09324760.06	0.09891840.06	-0.09765580.06	0.1378050.06	0.179060.06	0.2098260.06	0.1319660.06	-0.1015520.06	0.06134440.06	0.06645640.06	0.06284950.06	-0.1603310.06	0.1800490.06	0.164180.06	-0.2055820.06	0.2123930.06	0.1428540.06	0.1201430.06	0.006860480.06	-0.01517480.06	-0.1912690.06	-0.1846410.06	-0.175280.06	-0.1550750.06	-0.07981120.06	-0.07777550.06	-0.1774520.06	0.197310.06	-0.1724320.06	-0.1343710.06	0.1033050.06	0.0389040.06	-0.1201720.06	0.1380880.06	0.1737260.06	0.0857030.06	0.03715890.06	0.03341880.06	0.2047170.06	0.181852
0.12	0.2010070.12	-0.2055660.12	0.2023620.12	-0.2084720.12	0.07847820.12	-0.1105480.12	0.04008070.12	-0.0458880.12	0.1274750.12	-0.216630.12	-0.1318360.12	0.1384460.12	-0.1407240.12	-0.1621980.12	0.09530430.12	-0.1097150.12	0.1801460.12	0.1471730.12	-0.1837380.12	0.1796860.12	0.09333820.12	0.196940.12	-0.03081250.12	0.03903670.12	-0.2066250.12	-0.1577850.12	-0.08673930.12	0.1007080.12	0.004799380.12	0.02229540.12	-0.07063510.12	0.06720950.12	-0.1593870.12	0.1844120.12	0.1555110.12	-0.1458290.12	-0.2078270.12	-0.1789760.12	-0.002723280.12	-0.003218750.12	0.1402750.12	-0.05642380.12	0.1060440.12	0.07609420.12	0.2081440.12	-0.1190010.12	-0.1831590.12	0.181350.12	0.1400220.12	-0.12222
0.18	0.1611830.18	0.229590.18	0.01693450.18	0.02545870.18	0.1000050.18	0.1464750.18	-0.1311590.18	-0.1623940.18	0.01581920.18	0.1553460.18	-0.1643930.18	-0.1832510.18	-0.1732520.18	0.1324350.18	-0.05958810.18	-0.0619580.18	0.2064960.18	-0.1796840.18	-0.1130190.18	-0.1243720.18	0.1131830.18	-0.1950690.18	-0.2034680.18	-0.2020330.18	-0.124820.18	0.02858320.18	-0.2115720.18	-0.188570.18	0.006190970.18	-0.01938760.18	0.1081960.18	0.100360.18	-0.07069850.18	-0.1757840.18	0.1486960.18	0.1408610.18	-0.1874360.18	0.07727370.18	0.1710950.18	0.1396650.18	0.1723820.18	0.06614510.18	0.18710.18	-0.2002380.18	0.202560.18	0.1481780.18	-0.07307860.18	-0.06846220.18	-0.01534480.18	-0.00860999
0.24	0.07287610.24	-0.2228080.24	-0.1945190.24	0.2089180.24	0.1153320.24	-0.17570.24	-0.1881730.24	0.2284480.24	-0.1080820.24	-0.04450190.24	0.03760930.24	-0.03945850.24	-0.1970080.24	-0.0648910.24	-0.1759270.24	0.1842020.24	0.2039570.24	0.2036330.24	0.1455010.24	-0.1377930.24	0.124670.24	0.1572390.24	-0.147580.24	0.1433010.24	-0.00144320.24	0.1165040.24	-0.07760770.24	0.02124190.24	0.002780350.24	0.01542780.24	0.2017160.24	-0.1823390.24	0.05421360.24	0.1237070.24	-0.09612470.24	0.08833210.24	-0.1236760.24	0.06249870.24	0.1766760.24	-0.1319720.24	0.1957360.24	-0.08004860.24	0.02096070.24	0.07944690.24	0.1590910.24	-0.1614310.24	0.1739970.24	-0.1653080.24	-0.1609640.24	0.133219
0.3	-0.03751760.3	0.1757230.3	-0.02959890.3	-0.04484990.3	0.1328090.3	0.2025320.3	-0.07841750.3	-0.0910880.3	-0.1747040.3	-0.0858260.3	0.1917580.3	0.2089220.3	-0.2080740.3	-0.02260110.3	-0.1677840.3	-0.1783790.3	0.1793610.3	-0.220630.3	0.1579780.3	0.1655410.3	0.1245280.3	-0.09114360.3	0.06787380.3	0.07929480.3	0.1131170.3	-0.2048850.3	0.1457730.3	0.1739170.3	0.001714180.3	-0.007350120.3	0.1356640.3	0.1174440.3	0.1553820.3	-0.0477410.3	-0.1926540.3	-0.1807970.3	-0.02896620.3	-0.1725780.3	0.007211510.3	-0.01184290.3	0.2102840.3	0.09403210.3	-0.1795410.3	0.1399260.3	0.09131060.3	0.1561650.3	0.1051790.3	0.09852320.3	-0.2103210.3	-0.183167
0.36	-0.13930.36	-0.1149060.36	0.192180.36	-0.2025730.36	0.1565360.36	-0.2225480.36	0.09947430.36	-0.1272170.36	-0.1583430.36	0.1858070.36	0.06758930.36	-0.07417570.36	-0.2057760.36	0.1006660.36	-0.04671780.36	0.04829910.36	0.1329160.36	0.2246680.36	-0.09845640.36	0.0893470.36	0.1141720.36	0.003649720.36	0.2130550.36	-0.2105150.36	0.1851370.36	0.1831880.36	0.1922550.36	-0.1351490.36	-0.001820510.36	0.006650890.36	-0.03231480.36	0.04440980.36	0.1938380.36	-0.04069360.36	0.01399640.36	-0.008833410.36	0.06402110.36	0.2100290.36	-0.166340.36	0.1506840.36	0.2157390.36	-0.10480.36	-0.1402840.36	-0.1929660.36	0.001763080.36	-0.1350410.36	-0.1506120.36	0.1465140.36	-0.1395130.36	0.116477
0.42	-0.1985070.42	0.038230.42	0.044060.42	0.05928520.42	0.178240.42	0.2400940.42	0.1888210.42	0.2194880.42	-0.05568960.42	-0.2225040.42	-0.1578070.42	-0.1658950.42	-0.1905280.42	-0.1564470.42	0.1108770.42	0.1087790.42	0.06368850.42	-0.2199880.42	-0.1853980.42	-0.1947720.42	0.09483280.42	0.08559250.42	0.1251120.42	0.1105830.42	0.1858640.42	-0.07072820.42	0.007510640.42	-0.08463010.42	-0.008729550.42	-0.003540780.42	-0.1726520.42	-0.1645470.42	0.1421880.42	0.1154730.42	0.197870.42	0.1879840.42	0.1403480.42	-0.1554460.42	-0.1729490.42	-0.1443790.42	0.212510.42	0.1075470.42	0.08295470.42	0.01672710.42	-0.07884590.42	0.1017650.42	-0.1333860.42	-0.1266830.42	0.01577630.42	0.0242345
0.48	-0.2015680.48	0.03706430.48	-0.1879770.48	0.1996350.48	0.195580.48	-0.2510460.48	0.1093590.48	-0.1134610.48	0.07597110.48	0.1734980.48	-0.1513150.48	0.161450.48	-0.1631370.48	0.1720530.48	0.1929680.48	-0.1890360.48	-0.02005140.48	0.1985410.48	0.04363130.48	-0.03280150.48	0.06915360.48	-0.1638490.48	-0.09476640.48	0.106010.48	0.1100360.48	-0.07712840.48	-0.1846920.48	0.191890.48	-0.00856190.48	0.0006695460.48	-0.1784480.48	0.1570780.48	0.02823940.48	-0.1575940.48	0.07100790.48	-0.06924860.48	0.1870950.48	0.02832370.48	-0.01212620.48	-0.006035810.48	0.2031490.48	-0.1012770.48	0.1993840.48	0.1826030.48	-0.1422010.48	-0.05978760.48	0.1284220.48	-0.1260640.48	0.163080.48	-0.153578
0.54	-0.1472660.54	-0.1092370.54	-0.06012010.54	-0.07027770.54	0.2116480.54	0.2585130.54	-0.06205780.54	-0.09263050.54	0.1665870.54	-0.05540480.54	0.07818710.54	0.07372220.54	-0.1183530.54	-0.1355980.54	0.1422130.54	0.1304410.54	-0.1011240.54	-0.1633120.54	0.1993390.54	0.199230.54	0.03739090.54	0.2049250.54	-0.2055680.54	-0.2082180.54	-0.009131810.54	0.1830570.54	-0.1444070.54	-0.04844010.54	-0.002123190.54	-0.00277810.54	-0.04818390.54	-0.02787060.54	-0.1045510.54	0.1591170.54	-0.1730370.54	-0.1558170.54	0.1927260.54	0.1080230.54	0.1614650.54	0.147630.54	0.1881120.54	0.0893630.54	0.05238080.54	-0.1519230.54	-0.1799260.54	0.006657760.54	0.1608330.54	0.1516260.54	0.2081950.54	0.188599
