-1	0.18449-1	0.154069-1	0.170194-1	0.0587573-1	-0.130056-1	0.193291-1	0.173527-1	-0.10214-1	-0.146835-1	-0.159021-1	-0.194473-1	0.0254329-1	-0.149383-1	-0.192295-1	-0.174244-1	0.0089589-1	-0.120884-1	0.123414-1	0.195797-1	-0.0018261-1	-0.154157-1	0.181122-1	-0.200237-1	-0.0564876-1	0.160044-1	0.0034745-1	0.161612-1	0.081286-1	0.000848911-1	0.190233-1	-0.153848-1	-0.128361-1	0.005689-1	0.208382-1	-0.146945-1	0.028856-1	-0.00381564-1	0.180129-1	-0.181527-1	-0.131253-1	-0.0960886-1	0.192974-1	-0.114711-1	0.00141822-1	0.20746-1	0.137957-1	-0.038254-1	-0.00310621-1	-0.174915-1	0.186867
-0.96	-0.086254-0.96	0.202859-0.96	-0.305901-0.96	0.11838-0.96	0.203494-0.96	0.101026-0.96	-0.17296-0.96	-0.184819-0.96	0.24253-0.96	-0.1969-0.96	-0.00438056-0.96	0.0491337-0.96	0.193895-0.96	-0.122629-0.96	0.156243-0.96	0.0137381-0.96	0.169864-0.96	0.202961-0.96	-0.0481207-0.96	-0.0072669-0.96	0.176758-0.96	0.163683-0.96	-0.0501235-0.96	-0.108663-0.96	-0.103969-0.96	-0.000565083-0.96	0.182105-0.96	-0.117367-0.96	0.00117719-0.96	-0.0597204-0.96	-0.234033-0.96	0.160897-0.96	0.0158321-0.96	0.0298959-0.96	-0.206081-0.96	-0.0465358-0.96	-0.00920827-0.96	-0.132154-0.96	-0.142568-0.96	0.175556-0.96	-0.185338-0.96	-0.0182161-0.96	-0.198694-0.96	-0.00401944-0.96	0.0819827-0.96	-0.142419-0.96	-0.081768-0.96	0.00549768-0.96	-0.172545-0.96	-0.109469
-0.92	-0.140089-0.92	0.103784-0.92	0.39493-0.92	0.171163-0.92	-0.189664-0.92	-0.145479-0.92	-0.00308728-0.92	-0.220607-0.92	-0.259527-0.92	-0.0731313-0.92	0.197716-0.92	0.0745711-0.92	-0.120652-0.92	0.117927-0.92	0.030793-0.92	0.0213622-0.92	-0.13303-0.92	0.193297-0.92	-0.183794-0.92	-0.00826135-0.92	-0.0523811-0.92	-0.0456193-0.92	0.182903-0.92	-0.165072-0.92	-0.0838328-0.92	0.00117968-0.92	0.0312037-0.92	0.0919236-0.92	0.00189454-0.92	-0.166679-0.92	-0.196339-0.92	-0.0790759-0.92	0.0336028-0.92	-0.195535-0.92	-0.141739-0.92	0.0412076-0.92	-0.01417-0.92	-0.0718851-0.92	0.081205-0.92	-0.120426-0.92	-0.239211-0.92	-0.191498-0.92	-0.208904-0.92	0.003392-0.92	-0.177546-0.92	0.0186746-0.92	-0.126408-0.92	-0.00555429-0.92	0.00620951-0.92	-0.12142
-0.88	0.16016-0.88	-0.0747662-0.88	-0.428242-0.88	0.206125-0.88	0.100502-0.88	-0.164772-0.88	0.176074-0.88	-0.190487-0.88	0.197813-0.88	0.11594-0.88	-0.0129722-0.88	0.109503-0.88	-0.0271019-0.88	0.188802-0.88	-0.182512-0.88	0.0225381-0.88	0.0323383-0.88	0.0943773-0.88	0.103707-0.88	-0.00733564-0.88	-0.113141-0.88	-0.204443-0.88	0.0884107-0.88	-0.207027-0.88	0.170279-0.88	0.00296025-0.88	-0.148793-0.88	-0.0319348-0.88	0.00834745-0.88	0.128631-0.88	-0.0542131-0.88	-0.0547474-0.88	0.060145-0.88	-0.0449038-0.88	0.0172858-0.88	-0.0175827-0.88	-0.0230064-0.88	0.192498-0.88	0.195295-0.88	-0.0037412-0.88	-0.253067-0.88	0.0510399-0.88	-0.146914-0.88	-0.00403659-0.88	-0.141555-0.88	0.124445-0.88	-0.171703-0.88	-0.000657028-0.88	0.178455-0.88	0.188624
-0.84	0.0481139-0.84	-0.196831-0.84	0.418756-0.84	0.205047-0.84	0.0177621-0.84	0.07616-0.84	-0.184919-0.84	-0.100346-0.84	-0.0803196-0.84	0.204822-0.84	-0.198934-0.84	0.149283-0.84	0.154552-0.84	-0.0101903-0.84	0.149718-0.84	0.031354-0.84	0.0848765-0.84	-0.0535076-0.84	0.147344-0.84	-0.00758381-0.84	0.189739-0.84	-0.11281-0.84	-0.168914-0.84	-0.228107-0.84	-0.0429637-0.84	0.00657402-0.84	-0.177789-0.84	-0.0456716-0.84	0.0150009-0.84	0.111066-0.84	0.112591-0.84	0.15049-0.84	0.0973874-0.84	0.198266-0.84	0.1575-0.84	-0.0139466-0.84	-0.0308652-0.84	-0.0990848-0.84	0.0485246-0.84	0.115506-0.84	-0.205592-0.84	0.177078-0.84	-0.0256269-0.84	-8.3143e-05-0.84	0.136179-0.84	-0.168871-0.84	-0.209538-0.84	0.00624537-0.84	0.152727-0.84	-0.00625259
-0.8	-0.191904-0.8	-0.15481-0.8	-0.377693-0.8	0.162428-0.8	-0.130434-0.8	0.18855-0.8	0.031222-0.8	0.0228842-0.8	-0.0561923-0.8	0.0983344-0.8	0.0380207-0.8	0.187206-0.8	-0.197489-0.8	-0.193784-0.8	0.0298865-0.8	0.0480048-0.8	-0.164469-0.8	-0.181688-0.8	-0.15247-0.8	-0.00604172-0.8	-0.127286-0.8	0.121198-0.8	-0.108049-0.8	-0.21847-0.8	-0.140127-0.8	0.00717842-0.8	-0.0218326-0.8	0.0977078-0.8	0.0304276-0.8	-0.183312-0.8	0.205636-0.8	-0.152719-0.8	0.139415-0.8	0.0425617-0.8	0.181849-0.8	0.0446994-0.8	-0.0425119-0.8	-0.103522-0.8	-0.172969-0.8	-0.170464-0.8	-0.103064-0.8	-0.0970711-0.8	0.102913-0.8	0.0040866-0.8	0.168171-0.8	0.0751863-0.8	-0.234134-0.8	-0.00581443-0.8	-0.0487495-0.8	-0.184174
-0.76	0.0700267-0.76	0.021644-0.76	0.315243-0.76	0.0767686-0.76	0.199541-0.76	-0.0117755-0.76	0.144768-0.76	0.13146-0.76	0.183365-0.76	-0.0982694-0.76	0.197125-0.76	0.212977-0.76	0.135391-0.76	-0.0807187-0.76	-0.179811-0.76	0.0691764-0.76	0.180013-0.76	-0.203593-0.76	-0.0821061-0.76	-0.000614827-0.76	-0.0131783-0.76	0.202439-0.76	0.154834-0.76	-0.170996-0.76	0.156871-0.76	0.0117871-0.76	0.158023-0.76	-0.105233-0.76	0.0452972-0.76	-0.0133139-0.76	0.164609-0.76	0.0582706-0.76	0.181049-0.76	-0.197802-0.76	0.0673714-0.76	-0.051563-0.76	-0.0544292-0.76	0.198252-0.76	-0.146098-0.76	0.146172-0.76	0.0296294-0.76	-0.152433-0.76	0.187801-0.76	-0.00713839-0.76	-0.0951615-0.76	0.078118-0.76	-0.240631-0.76	0.00213435-0.76	-0.193188-0.76	0.139003
-0.72	0.147097-0.72	0.178735-0.72	-0.244505-0.72	-0.0256202-0.72	-0.212907-0.72	-0.190326-0.72	-0.201177-0.72	0.191872-0.72	-0.284059-0.72	-0.200437-0.72	-0.0785348-0.72	0.217666-0.72	0.00113748-0.72	0.165712-0.72	0.164412-0.72	0.101001-0.72	-0.122918-0.72	-0.102363-0.72	0.194731-0.72	0.0124715-0.72	0.148195-0.72	0.0157356-0.72	0.126744-0.72	-0.0911944-0.72	0.00611137-0.72	0.0139805-0.72	0.159681-0.72	0.0897902-0.72	0.0609997-0.72	0.192471-0.72	0.0122266-0.72	0.0737472-0.72	0.22374-0.72	-0.0230199-0.72	-0.106445-0.72	0.0449276-0.72	-0.0756585-0.72	-0.0882822-0.72	0.0865328-0.72	-0.0621521-0.72	0.155626-0.72	0.142532-0.72	0.178566-0.72	0.00641075-0.72	-0.194037-0.72	-0.178622-0.72	-0.214668-0.72	-0.00358126-0.72	-0.107464-0.72	0.0718523
-0.68	-0.17193-0.68	0.175531-0.68	0.180836-0.68	-0.118041-0.68	0.178087-0.68	-0.0404833-0.68	0.103445-0.68	0.162566-0.68	0.349889-0.68	-0.0934797-0.68	-0.175532-0.68	0.202524-0.68	-0.132092-0.68	0.146137-0.68	0.000527538-0.68	0.130016-0.68	0.0262244-0.68	0.0631398-0.68	-0.00603633-0.68	0.0248862-0.68	-0.186716-0.68	-0.188629-0.68	-0.150645-0.68	0.00972858-0.68	-0.16619-0.68	0.0192859-0.68	-0.023125-0.68	-0.0525738-0.68	0.0802527-0.68	-0.0985164-0.68	-0.139503-0.68	-0.167154-0.68	0.258355-0.68	0.192126-0.68	-0.19207-0.68	-0.0239588-0.68	-0.100678-0.68	-0.104842-0.68	0.19024-0.68	-0.0431077-0.68	0.218839-0.68	0.108592-0.68	0.0765012-0.68	-0.00158549-0.68	0.0648469-0.68	0.156908-0.68	-0.156364-0.68	8.03835e-05-0.68	0.109887-0.68	-0.198052
-0.64	-0.0233827-0.64	0.00637036-0.64	-0.129149-0.64	-0.167542-0.64	-0.101009-0.64	0.179311-0.64	0.0722611-0.64	0.0491003-0.64	-0.368432-0.64	0.118254-0.64	0.115406-0.64	0.160042-0.64	0.20298-0.64	-0.109305-0.64	-0.16445-0.64	0.167105-0.64	0.0813959-0.64	0.187235-0.64	-0.188903-0.64	0.0406427-0.64	0.114961-0.64	-0.130099-0.64	-0.119847-0.64	0.10911-0.64	0.148887-0.64	0.0222355-0.64	-0.179207-0.64	-0.0032755-0.64	0.103013-0.64	-0.136045-0.64	-0.186622-0.64	0.176427-0.64	0.269155-0.64	0.00253543-0.64	-0.120335-0.64	-0.00745343-0.64	-0.127565-0.64	0.197072-0.64	0.00635886-0.64	0.129594-0.64	0.196239-0.64	-0.181341-0.64	-0.0698683-0.64	-0.00148445-0.64	0.194782-0.64	-0.0292061-0.64	-0.0687274-0.64	0.00703102-0.64	0.188838-0.64	0.0904102
